HotelID,Hotel,Country,Address,City,PostalCode,Phone,EmailAddress
HGC001,Habana Grand Club,USA,Main Avenue 134,San Diego,91911,5555425155155,booking_habana@email.com
FA30002,Farol 3,PT,Luciano Cordeiro 78,Lisboa,658723,52655454,booking_farol3@email.com
STZ003,Schultz Hotel,GR,Stralauer Platz 36,Berlin,10243,9354655185,booking.schultz@email.com
HGC002,Autumn Arc Resort,UK,Main Avenue 135,San Diego,91912,5555425155156,booking_autum@email.com
FA30003,Rose Ridge Hotel ,RU,Luciano Cordeiro 79,Lisboa,658724,52655455,booking_rose@email.com
STZ004,Prince's Seashore Resort ,FR,Stralauer Platz 37,Berlin,10244,9354655186,booking.prince@email.com
HGC003,Oriental Thicket Resort ,USA,Main Avenue 136,San Diego,91913,5555425155157,booking_oriental@email.com
FA30004,Ivory Pool Resort,PT,Luciano Cordeiro 80,Lisboa,658725,52655456,booking_ivory@email.com
STZ005,Hotel San Francisco,SP,Stralauer Platz 38,Berlin,10245,9354655187,booking.sanfrancisco@email.com
HGC004,Hotel Eurostars Cristal Palace,SP,Main Avenue 137,San Diego,91914,5555425155158,booking_euroestarscristal@email.com
STZ006,Hotel NHH Collection Barcelona Constanza,SP,Stralauer Platz 39,Berlin,10246,9354655188,booking.NHHBarcelona@email.com
HGC005,Twin Gulf Hotel,USA,Main Avenue 138,San Diego,91915,5555425155159,booking_twing@email.com
FA30006,Crown Hotel ,CA,Luciano Cordeiro 82,Lisboa,658727,52655458,booking_crown@email.com
STZ007,Silver Angel Hotel ,GE,Stralauer Platz 40,Berlin,10247,9354655189,booking.silverangel@email.com
FA30007,Breakwater Hotel,CA,Luciano Cordeiro 83,Lisboa,658728,52655459,booking_breakwalt@email.com
STZ008,Excursion Hotel ,UK,Stralauer Platz 41,Berlin,10248,9354655190,booking.ex@email.com
